algoritmo,n,ordem,dist,rep,tempo_ms,comp,mov,ok
insercao,10000,aleatorio,uniforme,1,54,850,25240670,25250669,true
selecao,10000,aleatorio,uniforme,1,34,596,49995000,9999,true
quicksort,10000,aleatorio,uniforme,1,1,265,0,1,true
insercao,10000,aleatorio,uniforme,2,60,599,24963123,24973122,true
selecao,10000,aleatorio,uniforme,2,34,828,49995000,9999,true
quicksort,10000,aleatorio,uniforme,2,0,839,1,1,true
insercao,10000,aleatorio,uniforme,3,60,409,24868218,24878217,true
selecao,10000,aleatorio,uniforme,3,33,876,49995000,9999,true
quicksort,10000,aleatorio,uniforme,3,0,778,1,1,true
insercao,10000,aleatorio,uniforme,4,63,601,25007689,25017688,true
selecao,10000,aleatorio,uniforme,4,38,140,49995000,9999,true
quicksort,10000,aleatorio,uniforme,4,0,778,0,2,true
insercao,10000,aleatorio,uniforme,5,62,908,25061092,25071091,true
selecao,10000,aleatorio,uniforme,5,35,703,49995000,9999,true
quicksort,10000,aleatorio,uniforme,5,0,895,0,1,true
insercao,10000,aleatorio,uniforme,6,60,917,25059272,25069271,true
selecao,10000,aleatorio,uniforme,6,35,165,49995000,9999,true
quicksort,10000,aleatorio,uniforme,6,0,769,1,1,true
insercao,10000,aleatorio,uniforme,7,59,912,24697356,24707355,true
selecao,10000,aleatorio,uniforme,7,34,356,49995000,9999,true
quicksort,10000,aleatorio,uniforme,7,0,785,0,1,true
insercao,10000,aleatorio,uniforme,8,60,162,24765185,24775184,true
selecao,10000,aleatorio,uniforme,8,34,561,49995000,9999,true
quicksort,10000,aleatorio,uniforme,8,0,803,0,1,true
insercao,10000,aleatorio,uniforme,9,60,163,24813631,24823630,true
selecao,10000,aleatorio,uniforme,9,34,716,49995000,9999,true
quicksort,10000,aleatorio,uniforme,9,0,736,0,2,true
insercao,10000,aleatorio,uniforme,10,61,356,25266683,25276682,true
selecao,10000,aleatorio,uniforme,10,34,758,49995000,9999,true
quicksort,10000,aleatorio,uniforme,10,0,760,0,1,true
